time,keypoint_4_x,keypoint_4_y,keypoint_4_z,,,,,,,,,,,,,,,,,,,,
0,-0.51519513,-0.16142201,-2.2410145,,,,,,,,,,,,,,,,,,,,
0.124264,-0.5068709,-0.1603133,-2.2327654,,,,,,,,,,,,,,,,,,,,
0.243944,-0.5059004,-0.15865135,-2.2269888,,,,,,,,,,,,,,,,,,,,
0.358637,-0.5090877,-0.16452973,-2.252003,,,,,,,,,,,,,,,,,,,,
0.476323,-0.5141628,-0.1612365,-2.2471619,,,,,,,,,,,,,,,,,,,,
0.593011,-0.51082706,-0.16875324,-2.2601035,,,,,,,,,,,,,,,,,,,,
0.715826,-0.5119167,-0.17000823,-2.2606246,,,,,,,,,,,,,,,,,,,,
0.835506,-0.5175656,-0.17078212,-2.259685,,,,,,,,,,,,,,,,,,,,
0.947206,-0.5133086,-0.17115287,-2.2598777,,,,,,,,,,,,,,,,,,,,
1.056913,-0.51097274,-0.17151837,-2.2590833,,,,,,,,,,,,,,,,,,,,
1.16662,-0.5093571,-0.17204061,-2.2604477,,,,,,,,,,,,,,,,,,,,
1.278321,-0.5156556,-0.16326582,-2.2494233,,,,,,,,,,,,,,,,,,,,
1.389025,-0.51774156,-0.16721877,-2.2545795,,,,,,,,,,,,,,,,,,,,
1.499729,-0.51548487,-0.16938554,-2.2575364,,,,,,,,,,,,,,,,,,,,
1.609436,-0.51255584,-0.16732848,-2.2572713,,,,,,,,,,,,,,,,,,,,
1.72014,-0.5135056,-0.16584086,-2.2579784,,,,,,,,,,,,,,,,,,,,
1.830845,-0.515167,-0.17123504,-2.2608948,,,,,,,,,,,,,,,,,,,,
1.939553,-0.52072126,-0.17068624,-2.2626753,,,,,,,,,,,,,,,,,,,,
2.049259,-0.5149945,-0.17004941,-2.260181,,,,,,,,,,,,,,,,,,,,
2.158967,-0.50921273,-0.17687112,-2.2597592,,,,,,,,,,,,,,,,,,,,
2.26967,-0.5072234,-0.18249585,-2.2411375,,,,,,,,,,,,,,,,,,,,
2.380722,-0.51043713,-0.18221997,-2.2395875,,,,,,,,,,,,,,,,,,,,
2.490426,-0.53795886,-0.18397611,-2.2475052,,,,,,,,,,,,,,,,,,,,
2.601252,-0.56220293,-0.16382504,-2.2696817,,,,,,,,,,,,,,,,,,,,
2.710959,-0.58967143,-0.14950874,-2.2595453,,,,,,,,,,,,,,,,,,,,
2.821664,-0.63771343,-0.12795287,-2.2791967,,,,,,,,,,,,,,,,,,,,
2.930372,-0.68649894,-0.11805999,-2.2692637,,,,,,,,,,,,,,,,,,,,
3.039082,-0.7185703,-0.10469935,-2.2645822,,,,,,,,,,,,,,,,,,,,
3.149785,-0.76120853,-0.09369592,-2.3014672,,,,,,,,,,,,,,,,,,,,
3.258495,-0.82823366,-0.049574584,-2.2887735,,,,,,,,,,,,,,,,,,,,
3.368201,-0.8872215,0.010087937,-2.3579104,,,,,,,,,,,,,,,,,,,,
3.478905,-0.92959446,0.04564011,-2.331251,,,,,,,,,,,,,,,,,,,,
3.588613,-0.94698876,0.12086786,-2.3811169,,,,,,,,,,,,,,,,,,,,
3.698319,-0.92454356,0.17477342,-2.3355246,,,,,,,,,,,,,,,,,,,,
3.808025,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
3.917732,-0.9421946,0.2961207,-2.4537616,,,,,,,,,,,,,,,,,,,,
4.027438,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
4.137552,-0.9562897,0.4216273,-2.4198406,,,,,,,,,,,,,,,,,,,,
4.246971,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
4.356639,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
4.4666,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
4.577304,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
4.687011,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
4.797715,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
4.90842,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
5.018126,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
5.126835,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
5.236542,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
5.347246,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
5.457949,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
5.567656,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
5.677364,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
5.786072,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
5.895779,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
6.005486,nan,nan,nan,,,,,,,,,,,,,,,,,,,,
6.116002,-0.78347373,0.020412296,-2.1949704,,,,,,,,,,,,,,,,,,,,
6.226706,-0.6607615,-0.08811302,-2.1748283,,,,,,,,,,,,,,,,,,,,
6.336413,-0.49498788,-0.092918806,-2.3030512,,,,,,,,,,,,,,,,,,,,
6.446119,-0.29408222,-0.063998535,-2.3001773,,,,,,,,,,,,,,,,,,,,
6.556823,-0.11238293,0.05519463,-2.353851,,,,,,,,,,,,,,,,,,,,
6.666531,0.001158877,0.26882327,-2.5322423,,,,,,,,,,,,,,,,,,,,
6.777234,-0.022720587,0.41059887,-2.4665139,,,,,,,,,,,,,,,,,,,,
6.887939,-0.014310928,0.5658759,-2.5101388,,,,,,,,,,,,,,,,,,,,
6.996647,-0.084789775,0.61883754,-2.4202254,,,,,,,,,,,,,,,,,,,,
7.107351,-0.14681223,0.66829145,-2.4861646,,,,,,,,,,,,,,,,,,,,
7.217058,-0.22501577,0.7546163,-2.4049687,,,,,,,,,,,,,,,,,,,,
7.327762,-0.25222114,0.7667166,-2.3902524,,,,,,,,,,,,,,,,,,,,
7.437469,-0.23364063,0.7697886,-2.52013,,,,,,,,,,,,,,,,,,,,
7.547176,-0.24335197,0.7549924,-2.5522823,,,,,,,,,,,,,,,,,,,,
7.657883,-0.24927732,0.7591342,-2.569626,,,,,,,,,,,,,,,,,,,,
7.76759,-0.25069636,0.764407,-2.5815296,,,,,,,,,,,,,,,,,,,,
7.878293,-0.25218064,0.7707856,-2.6026766,,,,,,,,,,,,,,,,,,,,
7.989075,-0.27309632,0.74880713,-2.4692729,,,,,,,,,,,,,,,,,,,,
8.09878,-0.29454866,0.74375063,-2.4491553,,,,,,,,,,,,,,,,,,,,
